,Reagent,Solvent,Additive,Reagent_equiv,AdditiveLoading,Temperature,Stage,f,f_best,Round,method,target,target_value
0,DBDMH,DMC,sulfuric acid,1.0,13.0,20.0,2,59.5212,59.5212,46,LM,,
1,NBS,MeCN,water,1.1249999999999996,19.0,35.0,2,41.7173,59.5212,46,LM,,
2,NBS,DMC,hydrochloric acid,1.1249999999999996,1.0,15.0,5,78.4072,78.4072,46,LM,,
3,DBDMH,MeCN,phosphoric acid,1.2499999999999991,19.0,20.0,3,55.0968,78.4072,46,LM,,
4,DBDMH,DMC,phenylphosphonic acid,1.374999999999999,25.0,25.0,4,36.5679,78.4072,46,LM,,
5,NBS,MeCN,acetic acid,1.2499999999999991,13.0,5.0,4,11.2932,78.4072,46,LM,,
6,NBS,DMC,lactic acid,1.4999999999999982,7.0,15.0,1,85.6205,85.6205,46,LM,,
7,DBDMH,MeCN,picolinic acid,1.374999999999999,7.0,25.0,3,12.8867,85.6205,46,LM,,
8,NBS,MeCN,hydrochloric acid,1.4999999999999982,25.0,15.0,1,72.9582,85.6205,46,LM,pred_f,99.99999986833494
9,DBDMH,DMC,water,1.4999999999999982,1.0,10.0,1,21.4649,85.6205,46,LM,pred_f,99.9999999999998
10,NBS,MeCN,water,1.0,25.0,20.0,5,21.5853,85.6205,46,LM,pred_f,99.9447684083386
11,NBS,DMC,water,1.4999999999999982,25.0,15.0,3,83.4374,85.6205,46,LM,pred_f,100.0
12,NBS,DMC,hydrochloric acid,1.0,25.0,20.0,2,54.2841,85.6205,46,LM,pred_f,96.52170994563534
13,NBS,DMC,hydrochloric acid,1.4999999999999982,1.0,25.0,2,80.3051,85.6205,46,LM,pred_f,91.7255211981594
14,NBS,DMC,picolinic acid,1.4999999999999982,25.0,20.0,1,80.2705,85.6205,46,LM,pred_f,88.13970363430212
15,NBS,DMC,hydrochloric acid,1.4999999999999982,1.0,20.0,2,84.6072,85.6205,46,LM,pred_f,86.14264862877137
16,NBS,DMC,hydrochloric acid,1.4999999999999982,1.0,20.0,1,75.0416,85.6205,46,LM,pred_f,85.69461828759479
17,NBS,DMC,sulfuric acid,1.4999999999999982,25.0,20.0,2,79.4053,85.6205,46,LM,pred_f,84.37115525097117
18,NBS,DMC,sulfuric acid,1.4999999999999982,1.0,20.0,2,72.2978,85.6205,46,LM,pred_f,83.76701363574097
19,NBS,DMC,hydrochloric acid,1.4999999999999982,25.0,20.0,1,56.1078,85.6205,46,LM,pred_f,83.86013153429946
20,NBS,DMC,lactic acid,1.4999999999999982,1.0,20.0,2,75.9604,85.6205,46,LM,pred_f,83.37462839500328
21,DBDMH,DMC,water,1.2374999999999992,16.0,15.0,5,27.7384,85.6205,46,LM,,
22,DBDMH,MeCN,hydrochloric acid,1.3374999999999988,16.0,10.0,5,10.9231,85.6205,46,LM,,
23,DBDMH,MeCN,water,1.1249999999999996,10.5,5.0,2,2.2603,85.6205,46,LM,,
24,NBS,DMC,picolinic acid,1.4999999999999982,1.0,20.0,2,69.8246,85.6205,46,LM,pred_f,81.51331618256617
25,NBS,MeCN,water,1.4999999999999982,5.5,25.0,5,25.6599,85.6205,46,LM,,
26,DBDMH,MeCN,water,1.287499999999999,4.0,35.0,4,8.1656,85.6205,46,LM,,
27,NBS,DMC,hydrochloric acid,1.4999999999999982,25.0,20.0,2,53.8744,85.6205,46,LM,pred_f,80.7748152664638
28,NBS,DMC,picolinic acid,1.4999999999999982,1.0,20.0,1,56.5033,85.6205,46,LM,pred_f,80.25405370558374
29,DBDMH,DMC,water,1.1999999999999993,22.5,30.0,1,34.3064,85.6205,46,LM,,
30,NBS,MeCN,hydrochloric acid,1.0,24.0,35.0,5,63.6386,85.6205,46,LM,,
31,NBS,DMC,sulfuric acid,1.4999999999999982,25.0,25.0,1,81.0233,85.6205,46,LM,pred_f,80.53255413879022
32,NBS,DMC,acetic acid,1.025,21.0,5.0,2,44.6026,85.6205,46,LM,,
33,NBS,DMC,acetic acid,1.1249999999999996,10.0,35.0,5,66.7998,85.6205,46,LM,,
34,NBS,DMC,water,1.1999999999999993,9.5,35.0,5,67.9881,85.6205,46,LM,,
35,NBS,MeCN,sulfuric acid,1.299999999999999,4.0,35.0,4,80.1052,85.6205,46,LM,,
36,NBS,DMC,sulfuric acid,1.4999999999999982,25.0,30.0,2,79.8388,85.6205,46,LM,pred_f,82.17053342974094
37,NBS,DMC,phenylphosphonic acid,1.0125,8.0,35.0,1,75.859,85.6205,46,LM,,
38,NBS,MeCN,sulfuric acid,1.0749999999999997,23.0,5.0,1,84.8831,85.6205,46,LM,,
39,NBS,DMC,sulfuric acid,1.4999999999999982,25.0,30.0,1,80.5796,85.6205,46,LM,pred_f,83.64373520478304
40,NBS,DMC,sulfuric acid,1.0,25.0,30.0,1,70.4834,85.6205,46,LM,pred_f,83.38453440559712
41,DBDMH,MeCN,hydrochloric acid,1.0749999999999997,8.5,30.0,2,12.4237,85.6205,46,LM,,
42,NBS,MeCN,acetic acid,1.0749999999999997,22.0,35.0,2,17.9533,85.6205,46,LM,,
43,DBDMH,DMC,acetic acid,1.0,3.5,20.0,5,28.6259,85.6205,46,LM,,
44,DBDMH,DMC,hydrochloric acid,1.3749999999999987,5.5,30.0,5,27.8597,85.6205,46,LM,,
45,DBDMH,DMC,hydrochloric acid,1.4249999999999985,25.0,5.0,4,60.4356,85.6205,46,LM,,
